X,Y,class_hidr,CATEGORIA_SAL
1299675.97,1827467.8,A4,SALINIDAD_ALTA
1299536.07,1826712.393,A4,SALINIDAD_MEDIA
1299575.238,1827158.339,A4,SALINIDAD_ALTA
1138103.0,1758322.0,A4,SALINIDAD_ALTA
1138263.0,1757806.0,A4,SALINIDAD_ALTA
1137798.0,1753024.0,A3,SALINIDAD_ALTA
1140279.0,1752866.0,A2,SALINIDAD_ALTA
1135674.0,1763465.0,A3,SALINIDAD_BAJA
1136811.0,1762300.0,A3,SALINIDAD_ALTA
1141560.0,1759314.0,A4,SALINIDAD_MEDIA
1138017.0,1760451.0,A4,SALINIDAD_MEDIA
1201602.0,1751694.0,A4,SALINIDAD_ALTA
1203521.0,1751026.0,A4,SALINIDAD_ALTA
1203180.0,1751189.0,A4,SALINIDAD_ALTA
1200743.0,1751595.0,A4,SALINIDAD_ALTA
1199397.0,1750697.0,A4,SALINIDAD_MEDIA
1187221.0,1738820.0,A4,SALINIDAD_MEDIA
1197223.0,1787141.0,A3,SALINIDAD_ALTA
1198045.0,1786626.0,A3,SALINIDAD_ALTA
1197647.0,1788229.0,A4,SALINIDAD_ALTA
1197209.0,1788188.0,A4,SALINIDAD_ALTA
1198126.0,1788940.0,A3,SALINIDAD_ALTA
1198576.0,1787828.0,A4,SALINIDAD_ALTA
1197457.0,1788127.0,A4,SALINIDAD_ALTA
1201612.0,1750448.0,A4,SALINIDAD_ALTA
1202084.0,1750286.0,A4,SALINIDAD_ALTA
1199012.0,1758270.0,A4,SALINIDAD_ALTA
1186430.0,1790218.0,A4,SALINIDAD_ALTA
1186563.0,1790230.0,A4,SALINIDAD_ALTA
1187348.0,1790907.0,A4,SALINIDAD_ALTA
1187298.0,1791417.0,A4,SALINIDAD_ALTA
1181905.0,1792255.0,A4,SALINIDAD_ALTA
1141883.0,1766781.0,A4,SALINIDAD_ALTA
1135730.0,1749430.0,A3,SALINIDAD_BAJA
1134809.0,1775187.0,A4,SALINIDAD_MEDIA
1189724.329,1781858.811,A4,SALINIDAD_ALTA
1190785.606,1785445.035,A4,SALINIDAD_MEDIA
1189652.785,1785304.974,A4,SALINIDAD_ALTA
1190615.075,1788314.015,A4,SALINIDAD_ALTA
1196739.011,1792622.555,A4,SALINIDAD_ALTA
1195233.187,1788431.174,A4,SALINIDAD_ALTA
1194005.619,1782985.468,A4,SALINIDAD_ALTA
1227465.883,1789238.45,A3,SALINIDAD_ALTA
1292855.0,1846697.0,A4,SALINIDAD_MEDIA
1185450.316,1728226.03,B3,SALINIDAD_BAJA
1131310.459,1765164.494,A2,SALINIDAD_MEDIA
1131446.358,1764418.841,A2,SALINIDAD_ALTA
1129966.0,1764620.0,A2,SALINIDAD_MEDIA
1130774.0,1764461.0,A2,SALINIDAD_ALTA
1197662.714,1750916.598,A4,SALINIDAD_MEDIA
1186303.734,1736809.341,A3,SALINIDAD_MEDIA
1126748.0,1764854.0,A3,SALINIDAD_ALTA
