Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Pozo,1299675.97,1827467.8,,7.5,3060.0,31.2,1500.735655,1.683,3060.0,1.683
Aljibe,1299085.737,1828796.878,,7.12,1585.0,31.4,777.341834,0.87175,1585.0,0.8718
Aljibe,1298371.675,1829001.292,,7.07,995.0,32.7,487.984306,0.54725,995.0,0.5473
Aljibe,1298003.653,1829238.533,,7.37,1339.0,33.3,656.694458,0.73645,1339.0,0.7365
Pozo,1299536.07,1826712.393,,7.69,1553.0,0.0,761.647867,0.85415,1553.0,0.8541
Manantial,1289335.054,1822647.46,,7.29,3110.0,30.1,1525.257479,1.7105,3110.0,1.7105
Aljibe,1283846.215,1805206.624,,6.75,2417.0,31.6,1185.384993,1.32935,2417.0,1.3294
Aljibe,1292863.7,1800658.661,,7.92,8690.0,31.6,4261.893085,4.7795,8690.0,4.7795
Aljibe,1293911.401,1833578.534,,6.85,1205.0,30.6,590.975969,0.66275,1205.0,0.6627
Manantial,1293490.76,1834412.838,,8.09,1429.0,29.7,700.833742,0.78595,1429.0,0.786
Manantial,1289085.453,1822219.279,,7.42,3010.0,28.7,1476.21383,1.6555,3010.0,1.6555
Manantial,1288685.607,1822165.863,,7.66,7520.0,28.2,3688.082393,4.136,7520.0,4.136
Manantial,1288463.042,1821736.979,,6.97,3140.0,31.6,1539.970574,1.727,3140.0,1.727
Manantial,1286523.261,1822170.299,,7.41,4910.0,32.3,2408.043158,2.7005,4910.0,2.7005
Manantial,1285709.948,1820284.459,,8.36,16490.0,35.5,8087.297695,9.0695,16490.0,9.0695
Aljibe,1285978.302,1820002.084,,7.03,11960.0,33.0,5865.620402,6.578,11960.0,6.578
Aljibe,1284949.948,1823606.645,,6.98,10280.0,31.3,5041.687102,5.654,10280.0,5.654
Aljibe,1284957.482,1824108.25,,7.2,2659.0,29.9,1304.070623,1.46245,2659.0,1.4625
Aljibe,1286746.864,1824977.7,,7.2,3900.0,30.0,1912.702305,2.145,3900.0,2.145
Manantial,1294386.809,1834680.992,,6.85,1154.0,28.3,565.963708,0.6347,1154.0,0.6347
Aljibe,1294386.809,1834680.992,,7.19,5090.0,28.6,2496.321726,2.7995,5090.0,2.7995
Aljibe,1296334.296,1825624.147,,7.5,7110.0,30.4,3487.003433,3.9105,7110.0,3.9105
Aljibe,1302864.748,1827555.793,,7.34,2006.0,31.2,983.815596,1.1033,2006.0,1.1033
Aljibe,1299271.636,1828095.102,,6.83,1100.0,30.2,539.480137,0.605,1100.0,0.605
Aljibe,1299951.591,1828719.271,,6.67,1045.0,30.1,512.50613,0.57475,1045.0,0.5747
Aljibe,1303405.506,1826539.501,,7.23,5320.0,33.1,2609.122119,2.926,5320.0,2.926
Manantial,1305607.0,1826072.0,,7.32,4110.0,33.5,2015.693968,2.2605,4110.0,2.2605
Aljibe,1309619.056,1817085.712,,7.54,2092.0,28.2,1025.993134,1.1506,2092.0,1.1506
Aljibe,1294377.901,1830209.895,,7.31,3290.0,28.7,1613.536047,1.8095,3290.0,1.8095
Aljibe,1300369.012,1827811.784,,7.12,1646.0,30.5,807.25846,0.9053,1646.0,0.9053
Pozo,1299575.238,1827158.339,,7.61,2082.0,35.0,1021.088769,1.1451,2082.0,1.1451
Manantial,1291340.888,1837455.522,,7.12,1086.0,27.4,532.614026,0.5973,1086.0,0.5973
Aljibe,1291310.0,1833220.0,,7.03,1924.0,28.2,943.599804,1.0582,1924.0,1.0582
Manantial,1293920.321,1833586.641,,6.91,1302.0,29.8,638.548308,0.7161,1302.0,0.7161
Aljibe,1286765.55,1831037.305,,7.07,8780.0,29.9,4306.032369,4.829,8780.0,4.829
Aljibe,1285064.281,1830260.829,,7.06,10040.0,31.1,4923.982344,5.522,10040.0,5.522
Aljibe,1287079.096,1831017.724,,7.04,9380.0,31.8,4600.294262,5.159,9380.0,5.159
Aljibe,1284892.451,1830228.912,,7.35,5260.0,29.1,2579.695929,2.893,5260.0,2.893
Aljibe,1285507.812,1830345.782,,7.17,10840.0,29.6,5316.331535,5.962,10840.0,5.962
Aljibe,1287495.875,1831807.135,,7.0,3500.0,31.6,1716.52771,1.925,3500.0,1.925
Aljibe,1294266.177,1830446.935,,7.58,4090.0,30.6,2005.885238,2.2495,4090.0,2.2495
Aljibe,1281911.229,1823935.822,,7.73,6270.0,29.2,3075.036783,3.4485,6270.0,3.4485
Aljibe,1281709.046,1826130.843,,7.17,6180.0,31.5,3030.897499,3.399,6180.0,3.399
Aljibe,1300532.665,1813716.13,,7.3,4770.0,29.2,2339.38205,2.6235,4770.0,2.6235
Aljibe,1305256.389,1813612.164,,7.6,2486.0,28.8,1219.22511,1.3673,2486.0,1.3673
Manantial,1295857.647,1832389.582,,6.29,984.0,29.1,482.589505,0.5412,984.0,0.5412
Aljibe,1137771.0,1759801.0,Ganadería,6.07,1006.0,31.1,493.379107,0.5533,1006.0,0.5533
Aljibe,1137228.0,1760271.0,Ganadería,6.54,3650.0,31.1,1790.093183,2.0075,3650.0,2.0075
Aljibe,1136683.0,1758646.0,Ganadería,7.75,8685.0,30.8,4259.440902,4.77675,8685.0,4.7767
Aljibe,1138477.0,1758800.0,Ganadería,6.73,3410.0,31.6,1672.388426,1.8755,3410.0,1.8755
Aljibe,1138045.0,1758774.0,Ganadería,7.29,2960.0,31.6,1451.692006,1.628,2960.0,1.628
Pozo,1138103.0,1758322.0,Ganadería,7.72,2729.0,31.8,1338.401177,1.50095,2729.0,1.501
Aljibe,1138116.0,1757683.0,Ganadería,7.19,3270.0,30.9,1603.727317,1.7985,3270.0,1.7985
Pozo,1138263.0,1757806.0,Ganadería,7.55,2929.0,31.7,1436.488475,1.61095,2929.0,1.611
Aljibe,1137681.0,1754338.0,Ganadería,6.69,3370.0,31.6,1652.770966,1.8535,3370.0,1.8535
Aljibe,1137753.0,1751103.0,Ganadería,7.53,3390.0,31.1,1662.579696,1.8645,3390.0,1.8645
Aljibe,1136745.0,1749999.0,Ganadería,7.66,12850.0,28.6,6302.108877,7.0675,12850.0,7.0675
Aljibe,1138350.0,1752747.0,Ganadería,7.66,1472.0,30.8,721.922511,0.8096,1472.0,0.8096
Pozo,1137798.0,1753024.0,Ganadería,7.56,2736.0,34.9,1341.834232,1.5048,2736.0,1.5048
Aljibe,1139078.0,1754419.0,Ganadería,7.72,1600.0,30.5,784.698382,0.88,1600.0,0.88
Pozo,1140279.0,1752866.0,Ganadería,7.83,2093.0,36.1,1026.48357,1.15115,2093.0,1.1511
Aljibe,1139511.0,1755993.0,Ganadería,7.58,8080.0,30.3,3962.726827,4.444,8080.0,4.444
Aljibe,1138254.0,1760545.0,Ganadería,7.26,2326.0,30.6,1140.755272,1.2793,2326.0,1.2793
Pozo,1135674.0,1763465.0,Ganadería,7.3,501.0,31.4,245.708681,0.27555,501.0,0.2756
Pozo,1136811.0,1762300.0,Ganadería,7.58,2445.0,31.7,1199.117214,1.34475,2445.0,1.3447
Aljibe,1138335.0,1762228.0,Ganadería,7.24,737.0,30.6,361.451692,0.40535,737.0,0.4053
